timestamp_ms,displacement_mm,force_N
99.0,0.0,-0.09593199
201.0,0.163,0.11358018
300.0,0.459,0.5025663
399.0,0.755,0.48652695
498.0,1.066,0.55726686
597.0,1.362,0.5643987300000001
696.0,1.658,0.5524599600000001
795.0,1.939,0.47134107000000003
894.0,2.235,0.5601706200000001
993.0,2.546,0.39180159000000003
1092.0,2.842,0.44630595
1191.0,3.138,0.46292409000000007
1291.0,3.419,0.44398098
1390.0,3.7,0.40815486000000006
1489.0,4.011,0.41855346
1588.0,4.307,0.39044781000000006
1687.0,4.603,0.54235566
1786.0,4.87,1.56082005
1885.0,5.151,3.9089710800000006
1984.0,5.432,6.898833450000001
2083.0,5.699,9.42963687
2182.0,5.965,12.272359050000002
2281.0,6.232,15.58194894
2380.0,6.513,18.30519513
2479.0,6.809,20.03347188
2579.0,7.09,21.58790562
2678.0,7.386,22.20538626
2777.0,7.653,23.27888475
2876.0,7.963,23.31142452
2975.0,8.274,22.55606433
3074.0,8.57,21.66408027
3173.0,8.881,20.29037616
3272.0,9.177,18.51752277
3371.0,9.473,17.45803296
3470.0,9.799,15.42510666
3569.0,10.095,13.16180232
3668.0,10.421,11.63612169
3767.0,10.702,10.16499447
3866.0,11.027,9.02752497
3965.0,11.323,7.355469330000001
4065.0,11.634,6.4896093
4164.0,11.93,5.6836098900000005
4263.0,12.226,3.9142292400000005
4362.0,12.537,3.2350829400000003
4461.0,12.848,1.7558134200000002
4560.0,13.144,1.2081309300000003
4659.0,13.411,1.08617301
4758.0,13.721,0.9562788
4857.0,14.017,0.5820273
4956.0,14.313,0.36694305000000005
