displacement_mm,force
37.863,0.0
37.701,0.0
37.404,0.0
37.108,0.0
36.827,0.0
36.516,0.0
36.22,0.0
35.939,0.0
35.643,0.0
35.347,0.0
35.036,0.0
34.74,0.0
34.459,0.0
34.163,0.0
33.867,0.0
33.571,0.0
33.275,0.0
32.979,0.0
32.697,0.0
32.401,0.0
32.091,0.0
31.809,0.0
31.513,0.0
31.232,0.0
30.921,0.0
30.625,0.0
30.329,0.0
30.048,0.0
29.767,0.0
29.485,0.0
29.204,0.0
28.938,0.0
28.686,0.0
28.42,0.0
28.138,0.0
27.872,0.0
27.606,0.0
27.339,0.0
27.043,0.0
26.703,0.0
26.392,0.0
26.096,0.0
25.815,0.0
25.519,0.0
25.208,0.0
24.912,0.0
24.616,0.0
24.334,0.0
24.053,0.0
23.727,0.0
23.431,0.0
23.15,0.0
22.854,0.0
22.558,0.0
22.262,0.0
21.966,0.0
21.685,0.0
21.389,0.0
21.108,0.0
20.797,0.0
20.501,0.0
20.219,0.0
19.923,0.0
19.627,0.0
19.317,0.0
19.02,0.0
18.724,0.0
18.443,0.0
18.132,0.0
17.822,0.0
17.525,0.0
17.229,0.0
16.933,0.0
16.637,0.0
16.327,0.0
16.03,0.0
15.72,0.0
15.438,0.0
15.113,0.0
14.817,0.0
14.506,0.0
14.195,0.0
13.899,0.0
13.588,0.0
13.263,0.0
12.966,0.0
12.685,0.0
12.389,0.0
12.093,0.0
11.782,0.0
11.486,0.0
11.205,0.0
10.909,0.0
10.613,0.0
10.302,0.0
10.021,0.0
9.74,0.0
9.429,0.0
9.133,0.0
8.852,0.0
8.541,0.0
8.259,0.0
7.963,0.0
7.653,0.0
7.357,0.0
7.061,0.0
6.779,0.0
6.483,0.0
6.187,0.0
5.876,0.0
5.595,0.0
5.314,0.0
5.018,0.0
4.707,0.0
4.411,0.0
4.115,0.0
3.834,0.0
3.538,0.0
3.242,0.0
2.946,0.0
2.65,0.0
2.368,0.0
2.072,0.0
1.776,0.0
1.465,0.0
1.184,0.0
0.903,0.0
0.607,0.0
0.311,0.0
0.015,0.0
0.281,0.0
0.562,0.0
0.873,0.0
1.169,0.0
1.451,0.0
1.747,0.0
2.043,0.0
2.339,0.0
2.635,0.0
2.931,0.0
3.212,0.0
3.493,0.0
3.804,0.0
4.1,0.0
4.396,0.0
4.677,0.0
4.959,0.0
5.269,0.0
5.566,0.0
