timestamp_ms,displacement_mm,force_N
99.0,0.015,-0.29527119
201.0,0.192,-0.0629802
300.0,0.474,0.44054748000000005
399.0,0.77,0.42183981
498.0,1.066,0.49122594
597.0,1.362,0.48888135000000005
696.0,1.658,0.38960415000000004
795.0,1.954,0.43048242
894.0,2.25,0.5311820700000001
993.0,2.531,0.46619082000000006
1092.0,2.842,0.47935584
1191.0,3.138,0.55846368
1290.0,3.434,0.4805036100000001
1389.0,3.73,0.40813524000000007
1489.0,4.011,0.46358136
1588.0,4.307,1.01044962
1687.0,4.589,2.62793223
1786.0,4.855,5.5244132100000005
1885.0,5.121,8.92074312
1984.0,5.373,12.10087044
2083.0,5.684,14.58591021
2182.0,5.965,15.39151722
2281.0,6.232,18.34046208
2380.0,6.498,21.597607710000002
2479.0,6.764,24.274060200000005
2578.0,7.046,27.080769870000005
2677.0,7.342,28.86473799
2776.0,7.638,29.098608390000003
2876.0,7.934,28.687275090000004
2975.0,8.23,28.14766623
3074.0,8.541,26.9355132
3173.0,8.852,24.914692440000003
3272.0,9.133,24.221880810000002
3371.0,9.444,23.866248690000003
3470.0,9.754,21.87438705
3569.0,10.051,20.83926528
3668.0,10.347,21.241053450000003
3767.0,10.657,20.39124258
3866.0,10.953,18.48662127
3965.0,11.279,16.331246550000003
4064.0,11.575,13.810547430000002
4163.0,11.901,12.229361820000001
4262.0,12.212,10.12357665
4361.0,12.493,8.83317906
4460.0,12.804,8.04353292
4560.0,13.115,6.490884599999999
4659.0,13.411,5.40833148
4758.0,13.707,4.61949957
4857.0,14.003,3.90777426
4956.0,14.313,3.06581139
5055.0,14.624,1.9509147
5154.0,14.92,1.0805616900000001
5253.0,15.202,0.69001578
5352.0,15.498,0.39549996000000004
5451.0,15.794,0.24227757000000003
